nombre,n,cant_aristas,p,nro_intento,cant_intentos,error
random-19-aristas-0,5,19,0.5,0,1,0.9999990000000001
random-17-aristas-0,5,17,0.5,0,1,1.0000010000000001
random-4-aristas-0,5,4,0.5,0,1,1.0
random-12-aristas-0,5,12,0.5,0,1,1.0
random-18-aristas-0,5,18,0.5,0,1,1.0
random-16-aristas-0,5,16,0.5,0,1,0.9999989999999999
random-6-aristas-0,5,6,0.5,0,1,0.9999990000000001
random-3-aristas-0,5,3,0.5,0,1,0.9999990000000001
random-2-aristas-0,5,2,0.5,0,1,1.0000010000000001
random-15-aristas-0,5,15,0.5,0,1,0.9999990000000001
random-7-aristas-0,5,7,0.5,0,1,1.0000010000000001
random-20-aristas-0,5,20,0.5,0,1,1.0
random-5-aristas-0,5,5,0.5,0,1,0.9999990000000001
random-8-aristas-0,5,8,0.5,0,1,1.000001
random-10-aristas-0,5,10,0.5,0,1,1.0
random-14-aristas-0,5,14,0.5,0,1,1.0000010000000001
random-9-aristas-0,5,9,0.5,0,1,1.0
random-11-aristas-0,5,11,0.5,0,1,1.0
random-1-aristas-0,5,1,0.5,0,1,0.9999990000000001
random-13-aristas-0,5,13,0.5,0,1,1.0000010000000001
