accuracy,max_vocab_freq,testing entries,tiempo,metodo
0.7955,0.05714285714285715,2000,18864,KNN
0.724,0.05714285714285715,2000,1450,Inverted Index KNN
0.712,0.05714285714285715,2000,49608,PCA+KNN
0.5035,0.05714285714285715,2000,27842,PCA+Inverted index KNN
0.809,0.1142857142857143,2000,27063,KNN
0.7505,0.1142857142857143,2000,3553,Inverted Index KNN
0.731,0.1142857142857143,2000,49423,PCA+KNN
0.5205,0.1142857142857143,2000,13142,PCA+Inverted index KNN
0.798,0.17142857142857143,2000,33671,KNN
0.749,0.17142857142857143,2000,6165,Inverted Index KNN
0.73,0.17142857142857143,2000,49901,PCA+KNN
0.7065,0.17142857142857143,2000,25929,PCA+Inverted index KNN
0.787,0.2285714285714286,2000,35919,KNN
0.7805,0.2285714285714286,2000,9044,Inverted Index KNN
0.731,0.2285714285714286,2000,49411,PCA+KNN
0.6305,0.2285714285714286,2000,23157,PCA+Inverted index KNN
0.804,0.28571428571428575,2000,39802,KNN
0.78,0.28571428571428575,2000,11914,Inverted Index KNN
0.73,0.28571428571428575,2000,49494,PCA+KNN
0.6525,0.28571428571428575,2000,32665,PCA+Inverted index KNN
0.8055,0.34285714285714286,2000,42235,KNN
0.7765,0.34285714285714286,2000,14601,Inverted Index KNN
0.7245,0.34285714285714286,2000,49564,PCA+KNN
0.673,0.34285714285714286,2000,34387,PCA+Inverted index KNN
0.8105,0.4,2000,43382,KNN
0.786,0.4,2000,16920,Inverted Index KNN
0.711,0.4,2000,49448,PCA+KNN
0.656,0.4,2000,14684,PCA+Inverted index KNN
0.7915,0.4571428571428572,2000,46304,KNN
0.7765,0.4571428571428572,2000,22142,Inverted Index KNN
0.7125,0.4571428571428572,2000,49407,PCA+KNN
0.709,0.4571428571428572,2000,22998,PCA+Inverted index KNN
0.776,0.5142857142857143,2000,48421,KNN
0.764,0.5142857142857143,2000,24349,Inverted Index KNN
0.7065,0.5142857142857143,2000,49355,PCA+KNN
0.6895,0.5142857142857143,2000,23066,PCA+Inverted index KNN
0.7645,0.5714285714285715,2000,49590,KNN
0.7555,0.5714285714285715,2000,28634,Inverted Index KNN
0.6955,0.5714285714285715,2000,49396,PCA+KNN
0.667,0.5714285714285715,2000,27414,PCA+Inverted index KNN
0.748,0.6285714285714287,2000,51460,KNN
0.7505,0.6285714285714287,2000,32318,Inverted Index KNN
0.688,0.6285714285714287,2000,49441,PCA+KNN
0.6905,0.6285714285714287,2000,29332,PCA+Inverted index KNN
0.7395,0.6857142857142857,2000,51928,KNN
0.7355,0.6857142857142857,2000,33839,Inverted Index KNN
0.6755,0.6857142857142857,2000,49548,PCA+KNN
0.626,0.6857142857142857,2000,20744,PCA+Inverted index KNN
0.7395,0.7428571428571429,2000,52804,KNN
0.7395,0.7428571428571429,2000,35017,Inverted Index KNN
0.676,0.7428571428571429,2000,49432,PCA+KNN
0.672,0.7428571428571429,2000,29434,PCA+Inverted index KNN
